name,molecularComplexNumber,chain,chainAtoms,chainTD,plane,planeAtoms,planeTD,framework,frameworkAtoms,frameworkTD,dimensionType_str,dimensionType,dimensionNumber
PAU/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA8'; 'ZA9']],[1547],3D,[1; 1; 1],3
PCR/NT,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
PHI/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[1170],3D,[1; 1; 1],3
PON/NT,0,[[[1; 0; 0]]],[['ZA4'; 'ZA6'; 'ZA7']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
POR/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA5']],[1027],3D,[1; 1; 1],3
POS/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA3'; 'ZA4'; 'ZA8']],[368],3D,[1; 1; 1],3
PSI/PPT 1,0,[[[1; 0; 0]]; [[1; 0; 0]]],[['ZA7'; 'ZA11']; ['ZA14']],[21; 21],[[[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA6'; 'ZA8'; 'ZA9'; 'ZA10'; 'ZA12'; 'ZA13'; 'ZA15'; 'ZA16'; 'ZA17'; 'ZA18'; 'ZA19']],[43],[],[],[],1D2D,[1; 1; 1],3
PTF/PPT 1,0,[],[],[],[[[0; 1; 0]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4']],[428],[],[],[],2D,[1; 0; 1],2
PTT/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
PTY/PPT 1,1,[],[],[],[[[0; 1; 0]]],[['ZA1']],[221],[],[],[],2D,[1; 0; 1],2
PUN/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[981],3D,[1; 1; 1],3
PWN/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5']],[1753],3D,[1; 1; 1],3
PWO/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2']],[221],[],[],[],2D,[0; 1; 1],2
PWW/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2']],[221],[],[],[],2D,[0; 1; 1],2
RFE/PPT 1,1,[[[1; 0; 0]]],[['ZA4']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
RHO/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[801],3D,[1; 1; 1],3
RRO/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
RSN/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA8']],[721],3D,[1; 1; 1],3
RTE/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
RTH/PPT 1,1,[],[],[],[[[0; 1; 0]]],[['ZA2']],[221],[],[],[],2D,[1; 0; 1],2
RUT/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
RWR/PPT 1,1,[[[1; 0; 0]; [0; 1; 0]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[1; 1; 0],2
RWY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[4641],3D,[1; 1; 1],3
SAF/PPT 1,0,[[[0; 0; 1]]],[['ZA8']],[21],[[[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA6'; 'ZA7'; 'ZA9']],[74],[],[],[],1D2D,[1; 1; 1],3
SAO/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA5']],[298],3D,[1; 1; 1],3
SAS/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
SAT/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[1561],3D,[1; 1; 1],3
SAV/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3']],[1561],3D,[1; 1; 1],3
SBE/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA6'; 'ZA7']],[2669],3D,[1; 1; 1],3
SBN/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[1751],3D,[1; 1; 1],3
SBS/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA5'; 'ZA7']],[1950],3D,[1; 1; 1],3
SBT/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4'; 'ZA5'; 'ZA6']],[1957],3D,[1; 1; 1],3
SEW/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
SFE/PPT 1,0,[[[0; 1; 0]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
SFF/PPT 1,1,[[[0; 0; 1]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
SFG/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA4'; 'ZA5'; 'ZA7'; 'ZA8'; 'ZA11']],[536],3D,[1; 1; 1],3
SFH/PPT 1,2,[[[1; 0; 0]]; [[1; 0; 0]]],[['ZA2'; 'ZA5']; ['ZA6'; 'ZA7']],[21; 21],[],[],[],[],[],[],1D,[1; 0; 0],1
SFN/PPT 1,1,[[[0; 1; 0]]],[['ZA2'; 'ZA5']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
SFO/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2'; 'ZA3']],[219],[],[],[],2D,[0; 1; 1],2
SFS/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
SFW/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[4188],3D,[1; 1; 1],3
SGT/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
SIV/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[1108],3D,[1; 1; 1],3
SOD/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
