name,molecularComplexNumber,chain,chainAtoms,chainTD,plane,planeAtoms,planeTD,framework,frameworkAtoms,frameworkTD,dimensionType_str,dimensionType,dimensionNumber
AEN/PPT 1,0,[[[0; 0; 1]]],[['ZA2'; 'ZA3'; 'ZA4']],[30],[[[1; 0; 0]]],[['ZA1']],[166],[],[],[],1D2D,[0; 1; 1],2
AET/PPT 1,0,[[[0; 0; 1]]],[['ZA6']],[21],[[[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4'; 'ZA5'; 'ZA7'; 'ZA8'; 'ZA9'; 'ZA10']],[49],[],[],[],1D2D,[1; 1; 1],3
AFG/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AFI/PPT 1,0,[[[0; 0; 1]]],[['ZA4']],[21],[[[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA3']],[57],[],[],[],1D2D,[1; 1; 1],3
AFN/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA4']],[2546],3D,[1; 1; 1],3
AFO/PPT 1,2,[[[1; 0; 0]]; [[0; 0; 1]]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA5'; 'ZA6'; 'ZA8']; ['ZA4']],[26; 21],[],[],[],[],[],[],1D,[1; 0; 1],2
AFR/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2'; 'ZA3']],[219],[],[],[],2D,[0; 1; 1],2
AFS/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[2274],3D,[1; 1; 1],3
AFT/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA4']],[2478],3D,[1; 1; 1],3
AFV/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AFX/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[3152],3D,[1; 1; 1],3
AFY/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[2331],3D,[1; 1; 1],3
AHT/PPT 1,0,[[[0; 0; 1]]],[['ZA3']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
ANA/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[176],3D,[1; 1; 1],3
ANO/PPT 1,2,[],[],[],[[[0; 0; 1]]],[['ZA4'; 'ZA5']],[166],[],[],[],2D,[1; 1; 0],2
APC/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
APD/NT,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AST/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
ASV/PPT 1,1,[[[0; 0; 1]]],[['ZA2'; 'ZA4']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
ATN/PPT 1,0,[[[0; 0; 1]]; [[0; 0; 1]]],[['ZA1']; ['ZA2']],[21; 21],[],[],[],[],[],[],1D,[0; 0; 1],1
ATO/PPT 1,0,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3']],[306],1D3D,[1; 1; 1],3
ATS/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
ATT/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
ATV/PPT 1,2,[[[0; 1; 0]]; [[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA4']; ['ZA3']],[21; 21],[],[],[],[],[],[],1D,[1; 1; 0],2
AVE/PPT 1,2,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AVL/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AWO/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
AWW/PPT 1,1,[[[0; 0; 1]]],[['ZA1']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
BCT/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
BEC/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA6']],[368],3D,[1; 1; 1],3
BIK/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
BOF/PPT 1,0,[[[1; 0; 0]]; [[1; 0; 0]]],[['ZA1'; 'ZA3']; ['ZA2']],[21; 21],[],[],[],[],[],[],1D,[1; 0; 0],1
BOG/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA7']],[154],3D,[1; 1; 1],3
BOZ/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3']],[2848],3D,[1; 1; 1],3
BPH/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[2274],3D,[1; 1; 1],3
BRE/PPT 1,1,[],[],[],[[[0; 1; 0]]],[['ZA2']],[221],[],[],[],2D,[1; 0; 1],2
BSV/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2']],[176],3D,[1; 1; 1],3
CAN/PPT 1,1,[[[0; 0; 1]]],[['ZA2']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
CAS/PPT 1,0,[[[1; 0; 0]]],[['ZA2'; 'ZA3']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
CDO/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
CFI/PPT 1,1,[[[0; 1; 0]]],[['ZA3']],[21],[],[],[],[],[],[],1D,[0; 1; 0],1
CGF/NT,0,[],[],[],[[[0; 1; 0]]],[['ZA2'; 'ZA3']],[221],[],[],[],2D,[1; 0; 1],2
CGS/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1']],[981],3D,[1; 1; 1],3
CHA/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2']],[1561],3D,[1; 1; 1],3
CHI/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
CLO/PPT 1,2,[],[],[],[],[],[],[[1; 1; 1]; [1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA7']; ['ZA4'; 'ZA5']],[243; 396],3D,[1; 1; 1],3
CON_/NT,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3'; 'ZA7'; 'ZA9']],[361],3D,[1; 1; 1],3
CSV/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA2']],[221],[],[],[],2D,[0; 1; 1],2
CZP/NT,1,[[[0; 0; 1]]],[['ZA1'; 'ZA3']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
DAC/PPT 1,1,[],[],[],[[[1; 0; 0]]],[['ZA1'; 'ZA2'; 'ZA3']],[166],[],[],[],2D,[0; 1; 1],2
DDR/PPT 1,1,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
DFO/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA2'; 'ZA3'; 'ZA6'; 'ZA8'; 'ZA9'; 'ZA12']],[1749],3D,[1; 1; 1],3
DFT/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA1'; 'ZA3']],[742],3D,[1; 1; 1],3
DOH/PPT 1,0,[],[],[],[],[],[],[],[],[],,[0; 0; 0],0
DON/PPT 1,1,[[[0; 0; 1]]],[['ZA3']],[21],[],[],[],[],[],[],1D,[0; 0; 1],1
EAB/PPT 1,1,[],[],[],[[[0; 0; 1]]],[['ZA2'; 'ZA3']],[166],[],[],[],2D,[1; 1; 0],2
EDI/PPT 1,0,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA3']],[1149],3D,[1; 1; 1],3
EEI/PPT 1,1,[[[1; 0; 0]]],[['ZA3'; 'ZA4']],[21],[],[],[],[],[],[],1D,[1; 0; 0],1
EMT/PPT 1,1,[],[],[],[],[],[],[[1; 1; 1]],[['ZA2'; 'ZA4']],[1170],3D,[1; 1; 1],3
